song_id,entry_date,exit_date,days_on_playlist,best_rank,worst_rank,avg_rank,peak_popularity,avg_popularity
"vvs switch (feat. hades66, luar la l & cdobleta) - remix_pressure 9x19 & anuel aa & yovngchimi",2025-03-17,2025-03-30,14,13,50,31.384615384615383,79,75.53846153846153
wanda_quevedo,2024-05-18,2024-12-07,204,18,50,28.448275862068964,88,85.53793103448275
we can't be friends (wait for your love)_ariana grande,2025-03-11,2025-03-20,10,31,50,41.5,92,88.375
where she goes_bad bunny,2024-05-21,2024-10-28,161,1,50,15.876623376623376,100,94.51298701298701
whisky_samuel g & oscar el ruso & aissa,2025-07-17,2025-07-31,15,30,50,35.6,71,68.53333333333333
wya remix red_j abdiel & de la rose & yan block,2025-06-19,2025-11-16,151,22,48,34.957142857142856,84,81.92857142857143
x'clusivo - remix_gonzy,2025-10-13,2025-11-23,42,21,44,33.357142857142854,64,57.714285714285715
x'clusivo - remix_gonzy & saiko & arcángel,2025-03-03,2025-10-12,224,1,27,12.768181818181818,84,78.76363636363637
x'clusivo_gonzy,2025-01-31,2025-03-09,38,3,49,18.05263157894737,81,77.73684210526316
xxx_rosario_xxx_saiko,2024-12-24,2025-01-05,13,23,43,34.53846153846154,71,66.23076923076923
ya es navidad popurrí: ya es navidad- zúmbale a la pandereta - ya vienen los reyes magos - arre borriquito - ya es navidad_raya real,2024-12-25,2024-12-25,1,34,34,34.0,50,50.0
yandel 150_yandel,2024-05-18,2024-09-23,129,10,46,26.376,90,88.52
yankee 150_yandel & feid & daddy yankee,2024-06-18,2024-06-18,1,46,46,46.0,68,68.0
