best_rank,worst_rank,avg_rank,initial_rank,rank_improvement,rank_range,rank_volatility,avg_daily_rank_change,peak_popularity,avg_popularity,popularity_gap,playlist_entries,days_to_peak,stability_score
48,48,48.0,48,0,0,0.0,0.0,85,85.0,0.0,1,0,1.0
17,50,39.07692307692308,47,30,33,8.598747672682428,2.844444444444445,100,90.17582417582418,9.824175824175825,91,22,10.730566477242965
3,45,20.85981308411215,7,4,42,12.733441780892326,1.6037735849056605,83,79.61682242990655,3.383177570093451,107,11,7.864015570391324
7,50,32.145161290322584,7,0,43,9.79853444192275,2.5772357723577235,82,78.66935483870968,3.3306451612903203,124,0,11.760855205216794
30,50,42.5,38,8,20,6.851601597031488,4.444444444444445,81,70.2,10.799999999999995,10,2,1.2736254987492963
4,49,19.0,49,45,45,19.8997487421324,11.75,89,89.0,0.0,5,2,0.2392373258497772
3,19,7.952380952380952,19,16,16,4.532948162908886,1.2,77,71.9047619047619,5.095238095238102,21,6,3.795444920445357
45,50,48.111111111111114,50,5,5,1.615893285805443,1.0,78,77.88888888888889,0.1111111111111142,9,19,8.027850414981291
8,50,28.18987341772152,9,1,42,12.29558598030838,2.1923076923076925,86,82.87341772151899,3.12658227848101,79,4,6.2426733295492465
21,49,39.48571428571429,48,27,28,6.705447428030738,3.323529411764706,91,89.45714285714286,1.5428571428571445,35,68,10.771600322398424
5,38,13.344262295081966,38,33,33,8.28026820399283,1.8166666666666669,87,83.85245901639344,3.147540983606561,61,16,6.573085891392103
32,44,36.42857142857143,36,4,12,3.7796447300922713,3.3333333333333335,69,65.0,4.0,7,3,1.4645439975754986
45,50,48.225806451612904,49,4,5,1.3591584999392052,0.7666666666666667,90,88.80645161290323,1.1935483870967687,31,22,31.367116707888407
23,46,34.5,23,0,23,16.263455967290593,23.0,69,34.5,34.5,2,0,0.115851658195754
